,movieId,title,genres,overview,popularity,release_date,vote_average,vote_count,year
1140,2411,Rocky IV,"['Action', 'Drama']","Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",63.006,1985-11-21,7.076,4076,1985
1141,2412,Rocky V,"['Action', 'Drama']","A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",40.734,1990-11-16,5.768,2945,1990
1142,2413,Clue,"['Comedy', 'Crime', 'Mystery', 'Thriller']","Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.",34.337,1985-12-13,7.21,1540,1985
1143,2414,Young Sherlock Holmes,"['Action', 'Adventure', 'Children', 'Fantasy', 'Mystery', 'Thriller']","Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it.",21.043,1985-12-04,6.727,558,1985
1144,2416,Back to School,['Comedy'],"Self-made millionaire Thornton Melon decides to get a better education and enrolls at his son Jason's college. While Jason tries to fit in with his fellow students, Thornton struggles to gain his son's respect, giving way to hilarious antics.",15.576,1986-06-13,6.3,391,1986
1145,2418,Nothing in Common,['Comedy'],"On his way up the corporate ladder, David Basner confronts his greatest challenge: his father.",9.884,1986-07-29,5.741,108,1986
1146,2419,Extremities,"['Drama', 'Thriller']","A woman escapes from the man who is about to rape her, but leaves her purse behind. Afraid that her attacker might come after her, she goes to the police, but with no proof of the incident, they can do nothing. In fact, the man does use the information in her bag and comes to her apartment with the intent of rape, but she sprays him in the face with insect repellent, and then holds him captive. She is then faced with deciding whether to go to the police who might not believe her and release him, or to kill him.",11.523,1986-08-22,6.11,73,1986
1147,2424,You've Got Mail,"['Comedy', 'Romance']","Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",27.967,1998-12-17,6.677,3015,1998
1148,2429,Mighty Joe Young,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Thriller']","As a child living in Africa, Jill Young saw her mother killed while protecting wild gorillas from poachers led by Andrei Strasser. Now an adult, Jill cares for an orphaned gorilla named Joe -- who, due to a genetic anomaly, is 15 feet tall. When Gregg O'Hara arrives from California and sees the animal, he convinces Jill that Joe would be safest at his wildlife refuge. But Strasser follows them to the U.S., intent on capturing Joe for himself.",17.489,1998-12-25,6.219,747,1998
1149,2430,Mighty Joe Young,"['Adventure', 'Children', 'Drama']","As a child living in Africa, Jill Young saw her mother killed while protecting wild gorillas from poachers led by Andrei Strasser. Now an adult, Jill cares for an orphaned gorilla named Joe -- who, due to a genetic anomaly, is 15 feet tall. When Gregg O'Hara arrives from California and sees the animal, he convinces Jill that Joe would be safest at his wildlife refuge. But Strasser follows them to the U.S., intent on capturing Joe for himself.",17.489,1998-12-25,6.219,747,1998
1150,2431,Patch Adams,"['Comedy', 'Drama']","The true story of Dr. Hunter ""Patch"" Adams, who in the 1970s found that humor is the best medicine, and was willing to do just anything to make his patients laugh—even if it meant risking his own career.",24.189,1998-12-25,7.299,3021,1998
1151,2432,Stepmom,['Drama'],"Jackie is a divorced mother of two. Isabel is the career minded girlfriend of Jackie’s ex-husband Luke, forced into the role of unwelcome stepmother to their children. But when Jackie discovers she is ill, both women realise they must put aside their differences to find a common ground and celebrate life to the fullest, while they have the chance.",26.791,1998-12-25,7.151,1327,1998
1153,2436,Tea with Mussolini,"['Comedy', 'Drama', 'War']","Semi-autobiographical film directed by Franco Zeffirelli, telling the story of young Italian boy Luca's upbringing by a circle of English and American women, before and during World War II.",11.959,1999-03-25,6.376,133,1999
1154,2447,Varsity Blues,"['Comedy', 'Drama']","In small-town Texas, high school football is a religion, 17-year-old schoolboys carry the hopes of an entire community onto the gridiron every Friday night. When star quarterback Lance Harbor suffers an injury, the Coyotes are forced to regroup under the questionable leadership of John Moxon, a second-string quarterback with a slightly irreverent approach to the game.",16.453,1999-01-15,6.156,378,1999
1155,2448,Virus,"['Horror', 'Sci-Fi']","When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",14.673,1999-01-14,5.359,533,1999
1156,2450,Howard the Duck,"['Adventure', 'Comedy', 'Sci-Fi']",A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,22.701,1986-08-01,5.4,922,1986
1157,2457,Running Scared,"['Action', 'Comedy']",Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.,12.691,1986-06-27,6.034,178,1986
1159,5240,Running Scared,"['Action', 'Drama']",Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.,12.691,1986-06-27,6.034,178,1986
1161,43921,Running Scared,"['Action', 'Crime', 'Thriller']",Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.,12.691,1986-06-27,6.034,178,1986
1163,2463,Ruthless People,['Comedy'],"A couple, cheated by a vile businessman, kidnap his wife in retaliation—without knowing that their enemy is delighted they did.",18.14,1986-06-26,6.605,357,1986
1164,2468,Jumpin' Jack Flash,"['Action', 'Comedy', 'Romance', 'Thriller']","Terry works for a bank, and uses computers to communicate with clients all over the world. One day, she gets a strange coded message from an unknown source. After decoding the message, Terry becomes embroiled in an espionage ring. People are killed, and Terry is chased. Throughout, she remains in contact with this mysterious person, who needs Terry's help save his life.",17.135,1986-04-23,6.119,323,1986
1165,2469,Peggy Sue Got Married,"['Comedy', 'Drama']","Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",17.011,1986-10-10,6.119,495,1986
1166,2470,Crocodile Dundee,"['Adventure', 'Comedy']","When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",21.696,1986-09-26,6.39,1735,1986
1167,2471,Crocodile Dundee II,"['Action', 'Adventure', 'Comedy']",Australian outback expert protects his New York love from gangsters who've followed her down under.,21.155,1988-05-19,5.818,1009,1988
1168,2476,Heartbreak Ridge,"['Action', 'War']","A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",22.294,1986-12-05,6.869,931,1986
1169,2478,¡Three Amigos!,"['Comedy', 'Western']",A trio of unemployed silent film actors are mistaken for real heroes by a small Mexican village in search of someone to stop a malevolent bandit.,18.085,1986-12-12,6.323,874,1986
1170,2485,She's All That,"['Comedy', 'Romance']","High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",25.635,1999-01-29,6.331,1945,1999
1171,2488,Peeping Tom,"['Drama', 'Horror', 'Thriller']","Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making.",13.729,1960-05-16,7.442,703,1960
1172,2490,Payback,"['Action', 'Thriller']","With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",30.427,1999-02-05,6.839,1640,1999
1173,2496,Blast from the Past,"['Comedy', 'Romance']","Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself.",28.177,1999-02-12,6.716,972,1999
1174,2497,Message in a Bottle,['Romance'],"A woman finds a romantic letter in a bottle washed ashore and tracks down the author, a widowed shipbuilder whose wife died tragically early. As a deep and mutual attraction blossoms, the man struggles to make peace with his past so that he can move on and find happiness.",18.139,1999-02-22,6.2,718,1999
1175,2500,Jawbreaker,['Comedy'],"When an exclusive clique of teenage socialites accidentally murder their best friend on the morning of her birthday, the three girls responsible conspire to hide the truth.",20.663,1999-01-30,6.268,490,1999
1176,2502,Office Space,"['Comedy', 'Crime']","A depressed white-collar worker tries hypnotherapy, only to find himself in a perpetual state of devil-may-care bliss that prompts him to start living by his own rules, and hatch a hapless attempt to embezzle money from his soul-killing employers.",25.044,1999-02-19,7.383,2702,1999
1177,2505,8MM,"['Drama', 'Mystery', 'Thriller']","A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",22.752,1999-02-26,6.411,1823,1999
1178,2513,Pet Sematary,['Horror'],"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.",45.89,2019-04-04,5.7,3016,2019
1180,2514,Pet Sematary II,"['Comedy', 'Horror']","The ""sematary"" is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.",28.658,1992-08-28,5.379,481,1992
1181,2515,Children of the Corn II: The Final Sacrifice,['Horror'],"When a tabloid reporter and his son travel to a quiet Midwestern town to investigate a gruesome massacre, they fall victim to a possessed orphan named Micah.",14.904,1992-01-29,4.8,216,1992
1182,2517,Christine,['Horror'],"In the 1970s, television reporter Christine Chubbuck struggles with depression and professional frustrations as she tries to advance her career.",21.023,2016-10-14,6.776,337,2016
1184,2520,Airport,['Drama'],"Melodrama about a bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",18.665,1970-05-29,6.4,341,1970
1185,2521,Airport 1975,"['Action', 'Drama', 'Thriller']","When an in-flight collision incapacitates the pilots of an airplane bound for Los Angeles, stewardess Nancy Pryor is forced to take over the controls. From the ground, her boyfriend Alan Murdock, a retired test pilot, tries to talk her through piloting and landing the 747 aircraft. Worse yet, the anxious passengers — among which are a noisy nun and a cranky man — are aggravating the already tense atmosphere.",17.637,1974-10-18,5.7,233,1974
1186,2522,Airport '77,['Drama'],"Flight 23 has crashed in the Bermuda Triangle after a hijacking gone wrong. Now the surviving passengers must brave panic, slow leaks, oxygen depletion, and more while attempting a daring plan, all while 200 feet underwater.",20.097,1977-03-11,5.586,262,1977
1187,2525,Alligator,"['Action', 'Horror', 'Sci-Fi']","A baby alligator is flushed down a toilet and survives by eating discarded lab animals that have been injected with growth hormones. The now gigantic animal escapes the city sewers and goes on a rampage, pursued by a cop and a big-game hunter.",15.756,1980-07-02,5.923,280,1980
1188,2527,Westworld,"['Action', 'Sci-Fi', 'Thriller', 'Western']","A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.",18.284,1973-08-15,6.747,1171,1973
1189,2528,Logan's Run,"['Action', 'Adventure', 'Sci-Fi']","In the 23rd century, inhabitants of a domed city freely experience all of life's pleasures — but no one is allowed to live past 30. Citizens can try for a chance at being ""renewed"" in a civic ceremony on their 30th birthday. Escape is the only other option.",16.994,1976-06-23,6.608,838,1976
1190,2529,Planet of the Apes,"['Action', 'Drama', 'Sci-Fi']","Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.",55.806,1968-02-07,7.641,3132,1968
1192,4643,Planet of the Apes,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.",55.806,1968-02-07,7.641,3132,1968
1194,2530,Beneath the Planet of the Apes,"['Action', 'Sci-Fi']","The sole survivor of an interplanetary rescue mission discovers a planet ruled by apes, and an underground city run by telepathic humans.",33.818,1970-04-23,6.184,1136,1970
1195,2531,Battle for the Planet of the Apes,"['Action', 'Sci-Fi']","The fifth and final episode in the Planet of the Apes series. After the collapse of human civilization, a community of intelligent apes led by Caesar lives in harmony with a group of humans. Gorilla General Aldo tries to cause an ape civil war and a community of human mutants who live beneath a destroyed city try to conquer those whom they perceive as enemies. All leading to the finale.",29.728,1973-06-15,5.712,803,1973
1196,2532,Conquest of the Planet of the Apes,"['Action', 'Sci-Fi']","In a futuristic world that has embraced ape slavery, a chimpanzee named Caesar resurfaces after almost twenty years of hiding from the authorities, and prepares for a revolt against humanity.",25.297,1972-06-29,6.14,823,1972
1197,2533,Escape from the Planet of the Apes,"['Action', 'Sci-Fi']","The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a spacecraft. Intrigued by their intelligence, humans use them for research - until the apes attempt to escape.",28.123,1971-05-20,6.303,920,1971
1198,2535,Earthquake,"['Action', 'Drama', 'Thriller']","Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles, California.",18.981,1974-11-15,6.113,292,1974
1199,2539,Analyze This,['Comedy'],"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster.",16.391,1999-03-05,6.5,1720,1999
1200,2541,Cruel Intentions,['Drama'],"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession.",32.74,1999-03-05,6.788,2999,1999
1201,2551,Dead Ringers,"['Drama', 'Horror', 'Thriller']","Elliot, a successful gynecologist, works at the same practice as his identical twin, Beverly. Elliot is attracted to many of his patients and has affairs with them. When he inevitably loses interest, he will give the woman over to Beverly, the meeker of the two, without the woman knowing the difference. Beverly falls hard for one of the patients, Claire, but when she inadvertently deceives him, he slips into a state of madness.",15.627,1988-09-23,7.122,789,1988
1202,2552,My Boyfriend's Back,['Comedy'],"Missy McCloud is the most beautiful girl in school and Johnny Dingle has been in love with her for years. One night, Johnny is killed trying to win her over, and soon he comes back from the dead, and wins Missy's heart.",6.289,1993-08-06,5.64,75,1993
1203,2558,Forces of Nature,"['Comedy', 'Romance']","Ben Holmes, a professional book-jacket blurbologist, is trying to get to Savannah for his wedding. He just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sara.",16.789,1999-03-12,5.397,487,1999
1204,2560,Ravenous,"['Horror', 'Thriller']","Upon receiving reports of missing persons at Fort Spencer, a remote Army outpost on the Western frontier, Capt. John Boyd investigates. After arriving at his new post, Boyd and his regiment aid a wounded frontiersman who recounts a horrifying tale of a wagon train murdered by its supposed guide -- a vicious U.S. Army colonel gone rogue. Fearing the worst, the regiment heads out into the wilderness to verify the gruesome claims.",16.15,1999-01-01,6.778,532,1999
1205,2572,10 Things I Hate About You,"['Comedy', 'Romance']","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",42.38,1999-03-30,7.584,7476,1999
1206,2579,Following,"['Crime', 'Mystery', 'Thriller']","Bill, an idle, unemployed aspiring writer, walks the crowded streets of London following randomly chosen strangers, a seemingly innocent entertainment that becomes dangerous when he crosses paths with a mysterious character.",13.089,1999-04-02,7.1,1426,1999
1207,2580,Go,"['Comedy', 'Crime']","Grocery store clerk Simon occasionally sells drugs from his cash register at work, so when soap opera actors Adam and Zack come looking for Ecstasy on a quiet Christmas Eve, they are surprised to find Ronna covering his shift. Desperate for money, Ronna decides to become an impromptu drug dealer, unaware that Adam and Zack are secretly working for obsessed narcotics officer Burke.",18.852,1999-04-09,6.906,632,1999
1208,2581,Never Been Kissed,"['Comedy', 'Romance']","Josie Geller, a baby-faced junior copywriter at the Chicago Sun-Times, must pose as a student at her former high school to research contemporary teenage culture. With the help of her brother, Rob, Josie infiltrates the inner circle of the most popular clique on campus. But she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy English teacher, Sam Coulson.",23.534,1999-04-09,6.175,1388,1999
1209,2587,Life,"['Comedy', 'Crime', 'Drama']","The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",37.233,2017-03-22,6.4,6877,2017
1211,2597,Lost & Found,"['Comedy', 'Romance']","Mario, a worker in ""lost and found"" department, finds a suitcase with a dead baby inside.",9.011,2022-09-30,6.2,54,2022
1212,2599,Election,['Comedy'],"Tracy Flick is running unopposed for this year’s high school student election. But Jim McAllister has a different plan. Partly to establish a more democratic election, and partly to satisfy some deep personal anger toward Tracy, Jim talks football player Paul Metzler to run for president as well.",16.271,1999-04-23,6.846,939,1999
1214,2600,eXistenZ,"['Action', 'Sci-Fi', 'Thriller']",A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,24.4,1999-04-14,6.8,1738,1999
1215,2605,Entrapment,"['Crime', 'Thriller']","Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",30.558,1999-04-29,6.209,1844,1999
1216,2607,Get Real,"['Drama', 'Romance']","Steven spends his school days longing for all-star athlete John. But John has a gorgeous girlfriend, and Steven is still in the closet. Steven's sole confidant is his friend Linda. After a curious run-in with John in a public restroom, Steven starts to wonder if the jock is straight after all. When they begin a romance, it threatens to expose the truth about both of them.",31.55,1999-04-30,6.716,145,1999
1217,2612,Mildred Pierce,"['Drama', 'Film-Noir']",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,14.433,1945-10-20,7.601,357,1945
1218,86487,Mildred Pierce,['Drama'],A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,14.433,1945-10-20,7.601,357,1945
1219,2613,Night of the Comet,"['Comedy', 'Horror', 'Sci-Fi']","Two girls from the Valley wake up to find that a passing comet has eradicated their world and left behind a mysterious red-dust and a pack of cannibal mutants. With the help of a friendly truck driver, the girls save the earth from a villainous ""think tank,"" karate chop their way through flesh-eating zombies, and, of course, find time to go to the mall.",10.046,1984-11-16,6.2,330,1984
1220,2615,My Science Project,"['Adventure', 'Sci-Fi']","Michael and Ellie break into a military junkyard to find a science project for Michael's class, and discover a strange glowing orb which absorbs electricity. When the orb begins to blend past, present, and future, its up to Michael and Ellie to stop the orb and save mankind.",10.681,1985-08-09,6.2,121,1985
1221,2616,Dick Tracy,"['Action', 'Crime']",The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,16.812,1990-04-05,6.131,858,1990
1222,2628,Star Wars: Episode I - The Phantom Menace,"['Action', 'Adventure', 'Sci-Fi']","Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",38.035,1999-05-19,6.535,13667,1999
1223,2640,Superman,"['Action', 'Adventure', 'Sci-Fi']","Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",43.509,1978-12-14,7.121,3506,1978
1226,2641,Superman II,"['Action', 'Sci-Fi']","Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.",25.022,1980-12-04,6.732,2087,1980
1227,2642,Superman III,"['Action', 'Adventure', 'Sci-Fi']","Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer.",23.744,1983-06-17,5.497,1559,1983
1228,2643,Superman IV: The Quest for Peace,"['Action', 'Adventure', 'Sci-Fi']","With global superpowers engaged in an increasingly hostile arms race, Superman leads a crusade to rid the world of nuclear weapons. But Lex Luthor, recently sprung from jail, is declaring war on the Man of Steel and his quest to save the planet. Using a strand of Superman's hair, Luthor synthesizes a powerful ally known as Nuclear Man and ignites an epic battle spanning Earth and space.",30.808,1987-07-24,4.532,1132,1987
1229,2644,Dracula,['Horror'],"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.",25.594,1931-02-12,7.2,1080,1931
1231,6665,Dracula,"['Horror', 'Romance']","British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.",25.594,1931-02-12,7.2,1080,1931
1233,2648,Frankenstein,"['Drama', 'Horror', 'Sci-Fi']","Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",23.453,1931-11-21,7.493,1420,1931
1234,151559,Frankenstein,"['Horror', 'Thriller']","Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",23.453,1931-11-21,7.493,1420,1931
1235,2651,Frankenstein Meets the Wolf Man,['Horror'],"Grave robbers open the grave of the wolf man and awaken him. He doesn't like the idea of being immortal and killing people when the moon is full so tries to find Dr. Frankenstein, in the hopes that the doctor can cure him. Dr. Frankenstein has died; however, his monster is found.",16.369,1943-03-05,6.2,178,1943
1236,2656,Tarantula,"['Horror', 'Sci-Fi']","A rogue scientist near a small desert town arouses the suspicion of the town's doctor when his lab assistant is found dead from a case of acromegaly, which took only four days to develop.  As the doctor investigates, aided by the scientist's new female assistant, they discover that something is devouring local cattle and humans in increasingly large quantities.",14.254,1955-12-14,6.496,246,1955
1237,2661,It Came from Outer Space,['Sci-Fi'],"Author & amateur astronomer John Putnam and schoolteacher Ellen Fields witness an enormous meteorite come down near a small town in Arizona, but Putnam becomes a local object of scorn when, after examining the object up close, he announces that it is a spacecraft, and that it is inhabited...",8.74,1953-06-05,6.294,182,1953
1238,2664,Invasion of the Body Snatchers,"['Horror', 'Sci-Fi', 'Thriller']",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,15.406,1956-02-05,7.475,962,1956
1240,7001,Invasion of the Body Snatchers,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,15.406,1956-02-05,7.475,962,1956
1242,2668,Swamp Thing,"['Horror', 'Sci-Fi']","Dr. Alec Holland, hidden away in the depths of a murky swamp, is trying to create a new species - a combination of animal and plant capable of adapting and thriving in the harshest conditions. Unfortunately he becomes subject of his own creation and is transformed. Arcane, desperate for the formula, attempts to capture the Swamp Thing. An explosive chase ensues that ultimately ends with a confrontation between Holland and a changed Arcane...",14.334,1982-02-19,5.406,340,1982
1243,2671,Notting Hill,"['Comedy', 'Romance']","William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.",29.564,1999-05-21,7.263,5612,1999
1244,2676,Instinct,"['Drama', 'Thriller']","In a prison for the criminally insane, deranged anthropologist Ethan Powell is set to be examined by a bright young psychiatrist, Theo Caulder. Driven by ambition and a hunger for the truth, Caulder will eventually risk everything—even put his very life on the line—in a harrowing attempt to understand the bizarre actions of this madman.",11.185,1999-06-04,6.393,553,1999
1245,2677,Buena Vista Social Club,"['Documentary', 'Musical']","In this fascinating Oscar-nominated documentary, American guitarist Ry Cooder brings together a group of legendary Cuban folk musicians (some in their 90s) to record a Grammy-winning CD in their native city of Havana. The result is a spectacular compilation of concert footage from the group's gigs in Amsterdam and New York City's famed Carnegie Hall, with director Wim Wenders capturing not only the music -- but also the musicians' life stories.",11.504,1999-06-04,7.502,280,1999
1246,2683,Austin Powers: The Spy Who Shagged Me,"['Action', 'Adventure', 'Comedy']","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo,’ Austin must return to the swingin' '60s himself - with the help of American agent, Felicity Shagwell - to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions to try to save the world in his own unbelievably groovy way.",47.033,1999-06-08,6.277,3069,1999
1247,2687,Tarzan,"['Adventure', 'Animation', 'Children', 'Drama']","Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",73.69,1999-06-18,7.401,6309,1999
1248,2694,Big Daddy,['Comedy'],"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",30.174,1999-06-25,6.467,3028,1999
1249,2699,Arachnophobia,"['Comedy', 'Horror']","A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.",11.565,1990-07-20,6.372,1254,1990
1250,2701,Wild Wild West,"['Action', 'Comedy', 'Sci-Fi', 'Western']",Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,26.853,1999-06-30,5.321,3104,1999
1251,2706,American Pie,"['Comedy', 'Romance']","At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",56.087,1999-07-09,6.575,7201,1999
1252,2707,Arlington Road,['Thriller'],Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.,15.191,1999-03-19,7.005,981,1999
