,userId,user_era_vector
556,557,[0.   4.15 4.   3.5 ]
557,558,[5.         3.92307692 3.57894737 3.        ]
558,559,[3.         3.23809524 0.         0.        ]
559,560,[3.61111111 3.65454545 3.56071429 3.275     ]
560,561,[3.83333333 3.53409091 3.125      2.96938776]
561,562,[3.94444444 4.10606061 4.00980392 3.92857143]
562,563,[4.125      3.35       3.04166667 3.5       ]
563,564,[0.         3.86363636 3.78       3.35365854]
564,565,[0.         3.47058824 0.         0.        ]
565,566,[4.   3.65 0.   0.  ]
566,567,[2.56666667 2.3        2.26       1.97916667]
567,568,[5.         3.85714286 3.5        0.        ]
568,569,[0. 4. 0. 0.]
569,570,[2.95       3.375      3.84782609 2.5       ]
570,571,[2.94444444 2.45454545 0.         4.        ]
571,572,[4.65517241 3.9        0.         0.        ]
572,573,[4.28571429 4.19230769 4.16326531 4.66666667]
573,574,[0.         3.85714286 0.         0.        ]
574,575,[0.         3.46153846 0.         2.        ]
575,576,[4.         2.16666667 0.         0.        ]
576,577,[3.85       3.45614035 4.         0.        ]
577,578,[0.    4.5   4.125 3.   ]
578,579,[3.33333333 4.22580645 4.         0.        ]
579,580,[2.57575758 3.61458333 3.79545455 3.16666667]
580,581,[0.         4.33333333 4.23076923 4.25      ]
581,582,[0.         0.         4.05882353 3.75      ]
582,583,[3.         3.67857143 3.14285714 2.875     ]
583,584,[0.         4.10204082 0.         4.        ]
584,585,[4.5        4.14285714 4.39285714 0.        ]
585,586,[4.         4.21666667 4.48648649 4.41509434]
586,587,[3.5        4.12676056 0.         0.        ]
587,588,[0.         3.38709677 0.         0.        ]
588,589,[4.5  4.25 0.   0.  ]
589,590,[3.92156863 3.15536723 3.00757576 4.        ]
590,591,[0.         3.         3.88888889 0.        ]
591,592,[0.         3.66666667 0.         0.        ]
592,593,[3.75       3.25806452 2.78947368 0.        ]
593,594,[3.125      4.3452381  4.52083333 2.5       ]
594,595,[5.   3.75 0.   0.  ]
595,596,[3.75       3.35245902 3.45454545 3.6969697 ]
596,597,[4.60784314 3.82080925 4.         3.5       ]
597,598,[0. 0. 4. 5.]
598,599,[3.17699115 2.56842105 2.58703072 2.82627119]
599,600,[3.26415094 2.80497925 2.72058824 2.5       ]
600,601,[4.35714286 4.33333333 4.43181818 4.3       ]
601,602,[0.  3.4 3.  0. ]
602,603,[3.99019608 3.30578512 3.         3.14285714]
603,604,[3.5  3.48 0.   0.  ]
604,605,[3.32352941 3.30487805 3.04918033 0.        ]
605,606,[3.92268041 3.53303965 3.48076923 3.27777778]
606,607,[3.9375     3.67123288 2.8        4.5       ]
607,608,[3.03571429 2.69011407 3.696875   3.        ]
608,609,[0.  3.2 3.  3. ]
609,610,[3.88333333 4.19191919 3.48148148 3.73076923]
